"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3909","@regression verify product information for product: MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","1164","@regression GET -- get location data","chromium","2026-06-30","passed","2026-06-30","","api/amadeus.oauth2.spec.ts","",""
"","3981","csv data-driven registration of user with firstname firstname04","chromium","2026-06-30","passed","2026-06-30","","registration.spec.ts","",""
"","3998","csv data-driven registration of user with firstname firstname02","chromium","2026-06-30","passed","2026-06-30","","registration.spec.ts","",""
"","3889","json data-driven registration of user with firstname firstname13","chromium","2026-06-30","passed","2026-06-30","","registration.spec.ts","",""
"","3995","csv data-driven registration of user with firstname firstname01","chromium","2026-06-30","passed","2026-06-30","","registration.spec.ts","",""
"","219","get booking details test","chromium","2026-06-30","passed","2026-06-30","","api/bookings.api.spec.ts","",""
"","2479","@smoke comp logo exists on product page","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","1804","@smoke login page title test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","0","get user test","chromium","2026-06-30","skipped","2026-06-30","","api/users.api.spec.ts","",""
"","3326","@regression data driven invalid login using fixtures test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","345","Delete test - delete a user","chromium","2026-06-30","passed","2026-06-30","running e2e gorest api test","api/users.api.separate.spec.ts","",""
"","0","create a user test","chromium","2026-06-30","skipped","2026-06-30","","api/users.api.spec.ts","",""
"","1891","@regression forgot password link exist test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","3903","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","1870","@regression login page logo test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","322","GET test - get all the users","chromium","2026-06-30","passed","2026-06-30","running e2e gorest api test","api/users.api.separate.spec.ts","",""
"","724","POST - create a single user","chromium","2026-06-30","passed","2026-06-30","","api/users.api.schema.spec.ts","",""
"","2289","@regression json data driven invalid login using non fixure test for invalid31@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","362","GET - get all users schema","chromium","2026-06-30","passed","2026-06-30","","api/users.api.schema.spec.ts","",""
"","3826","@regression verify product information for product: MacBook Air","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","2468","intercept and log request","chromium","2026-06-30","passed","2026-06-30","","api/intercept.spec.ts","",""
"","3862","@smoke user is able to land on the product page test for iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3991","json data-driven registration of user with firstname firstname12","chromium","2026-06-30","passed","2026-06-30","","registration.spec.ts","",""
